# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 3.432276511634476668e-01 8.869675568718933534e-02 -1.281637919295740974e-02 3.179047704411059327e-01 -1.046279200635430971e-02 1.506353849938592109e-02 3.380979800519697265e-01
7.500000000000000000e+00 3.170670779916961446e-01 4.265210976201717907e-02 -2.219502738919754484e-02 3.173051534860358291e-01 -1.801291267756626249e-02 1.960229242329308494e-02 3.269872619505125311e-01
1.500000000000000000e+01 2.761810714225393371e-01 1.808197916608641695e-02 -3.042517029120952662e-02 2.943357601651193645e-01 -2.539767530914386132e-02 4.940745400386354486e-02 3.099621427957611752e-01
2.250000000000000000e+01 2.495851247747777057e-01 4.439240225396916956e-03 -3.066171128768903006e-02 2.719456416950292166e-01 -2.582544241022326909e-02 6.927904054660742605e-02 2.954049035082071395e-01
3.000000000000000000e+01 2.304779622131828409e-01 -3.982086846751670649e-03 -3.186086457928192367e-02 2.559124332826597237e-01 -2.737145877820563664e-02 8.793341635093919473e-02 2.871619059233908589e-01
3.750000000000000000e+01 2.169312660201852816e-01 -9.506206726848371105e-03 -3.165412000792891534e-02 2.416033729890485204e-01 -2.743670001683763682e-02 1.011211074826902090e-01 2.798278732459620333e-01
4.500000000000000000e+01 2.060043163226691898e-01 -1.228931957377688532e-02 -3.193060686041188784e-02 2.311665884483238287e-01 -2.812317312919590875e-02 1.126028419664330676e-01 2.748868733687130361e-01
5.250000000000000000e+01 1.964205131283269234e-01 -1.498871559334218409e-02 -3.167079730715308822e-02 2.214851834604217029e-01 -2.835047160485840850e-02 1.226402419404383215e-01 2.702729692645934878e-01
6.000000000000000000e+01 1.885460773094475295e-01 -1.627467021762422569e-02 -3.167754285544524540e-02 2.133048301771604260e-01 -2.889423931381802577e-02 1.317037196848453440e-01 2.667773135857266498e-01
6.750000000000000000e+01 1.822481948505170202e-01 -1.738860392284740167e-02 -3.151886484365277324e-02 2.060614209745226522e-01 -2.908523227372895523e-02 1.399666345035776582e-01 2.641381251643086792e-01
7.500000000000000000e+01 1.767587003217403196e-01 -1.745087049476695684e-02 -3.143606387632517235e-02 1.999161685736600413e-01 -2.956667429255991145e-02 1.476805848688678702e-01 2.621777268821341433e-01
8.250000000000000000e+01 1.721617749826185317e-01 -1.787440211420994463e-02 -3.133752736057401900e-02 1.942383928351659184e-01 -2.982270867850079360e-02 1.549700356396503942e-01 2.606851017287173944e-01
9.000000000000000000e+01 1.680681879921659960e-01 -1.782620815767509484e-02 -3.124302726070705624e-02 1.886454903957801299e-01 -3.025212628689338476e-02 1.616042770224147829e-01 2.591589777051804266e-01
9.750000000000000000e+01 1.641190038736846102e-01 -1.716566337060946440e-02 -3.113539448662644427e-02 1.839419474309041125e-01 -3.051881839865049420e-02 1.680415948773078538e-01 2.580512730909482744e-01
1.050000000000000000e+02 1.608186982880019100e-01 -1.644644077714457753e-02 -3.098152749065563247e-02 1.794001818868223574e-01 -3.086929670340018625e-02 1.741396087464729958e-01 2.571792444606486594e-01
1.125000000000000000e+02 1.575267945766671562e-01 -1.610341602237521166e-02 -3.082219184335953030e-02 1.756004147878962585e-01 -3.110633848232530890e-02 1.804103275241714655e-01 2.567687684443674678e-01
1.200000000000000000e+02 1.539855573545044765e-01 -1.514605608460904002e-02 -3.066323192483364976e-02 1.722532379761002319e-01 -3.139443555755130205e-02 1.865004597059497504e-01 2.563696275182772433e-01
1.275000000000000000e+02 1.512157908984001486e-01 -1.454577706632741163e-02 -3.048207898870036389e-02 1.695819542294608739e-01 -3.161954056375700095e-02 1.923802823978295329e-01 2.565890137628452639e-01
1.350000000000000000e+02 1.487076414523240409e-01 -1.385793064271997194e-02 -3.032349813819962617e-02 1.669943792457963816e-01 -3.190459388724629919e-02 1.980339157161168373e-01 2.568679682071186576e-01
1.425000000000000000e+02 1.464088771499864050e-01 -1.370122865135663809e-02 -3.014027423878953144e-02 1.646854902042994007e-01 -3.216395832890682482e-02 2.036127161745056036e-01 2.573535417643957324e-01
1.500000000000000000e+02 1.449636046307603565e-01 -1.336693255171987789e-02 -3.007532514007573224e-02 1.631923403391415672e-01 -3.241194592279299236e-02 2.089614552508618217e-01 2.585587001103819005e-01
1.575000000000000000e+02 1.432983640278396587e-01 -1.326027811747884991e-02 -2.993069636572414510e-02 1.617349889940339902e-01 -3.266677567941490140e-02 2.142055391102547779e-01 2.596194460660641856e-01
