# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 3.475251611689581521e-01 1.032146529270944191e-01 -1.332450314813191268e-02 3.178024353889153386e-01 -1.070370037724278738e-02 1.590426470134924039e-02 3.406159306296113742e-01
7.500000000000000000e+00 3.045092319095833999e-01 5.904875379263956059e-02 -2.333798872049669404e-02 3.122215155108126750e-01 -1.811773722344459103e-02 2.093320490310464008e-02 3.188319761617503523e-01
1.500000000000000000e+01 2.646092540711038055e-01 3.118389409487792169e-02 -3.143623567540831248e-02 2.831575695831393680e-01 -2.357669296475758958e-02 5.246409053773909426e-02 3.001154570959911894e-01
2.250000000000000000e+01 2.415725492463036139e-01 1.535750079864694681e-02 -3.160030601183643623e-02 2.611352114476988007e-01 -2.311815521607179374e-02 7.277420085601407629e-02 2.877409807750082593e-01
3.000000000000000000e+01 2.277578445198265300e-01 6.514562038189255361e-03 -3.305010923891815722e-02 2.458055163588931391e-01 -2.345051260407983798e-02 9.068696825951649831e-02 2.821251645691180698e-01
3.750000000000000000e+01 2.153516223948668540e-01 -2.577366870099547305e-04 -3.265597500512337770e-02 2.332669475723975205e-01 -2.252902456558898703e-02 1.028801206245146399e-01 2.757493452958895142e-01
4.500000000000000000e+01 2.075049522532794455e-01 -4.066088220845985417e-03 -3.321758028960771630e-02 2.225894365030080257e-01 -2.223426794753740124e-02 1.121261506110850653e-01 2.711102696836862891e-01
5.250000000000000000e+01 2.004639384097054999e-01 -7.665193549345066665e-03 -3.268606426882837007e-02 2.131727647502696943e-01 -2.142906245202075982e-02 1.195593495055431721e-01 2.665980263327591970e-01
6.000000000000000000e+01 1.954192801530898194e-01 -9.802875689068875700e-03 -3.291228587292060331e-02 2.042588322839200554e-01 -2.101674028926136389e-02 1.254572386263616557e-01 2.625676755316858069e-01
6.750000000000000000e+01 1.901650259021576972e-01 -1.122475673847622007e-02 -3.243734906954370834e-02 1.958768975332076390e-01 -2.026911740049042523e-02 1.311086810562081262e-01 2.585753022457867312e-01
7.500000000000000000e+01 1.853404799894132204e-01 -1.268691224242629069e-02 -3.241175081497452148e-02 1.878114023722719239e-01 -1.981155092042295729e-02 1.360282427596103960e-01 2.545900625606477563e-01
