# z, u, v, w, u_mag
0.000000000000000000e+00 3.653518202703466500e+00 3.085302884050390215e+00 5.158114890707126213e-03 4.781978225584516906e+00
7.500000000000000000e+00 4.302388139943389866e+00 3.618642000277298987e+00 -3.942867302863820034e-03 5.621843930517727017e+00
1.500000000000000000e+01 4.501251089602553712e+00 3.779048126269857200e+00 2.580751806399040043e-03 5.877284472661824744e+00
2.250000000000000000e+01 4.568789138294575558e+00 3.832943271650868677e+00 -2.253569111329294713e-03 5.963664426547313546e+00
3.000000000000000000e+01 4.615453872539628577e+00 3.867867270164531579e+00 1.903238744974302754e-03 6.021861447382262256e+00
3.750000000000000000e+01 4.643588129165576284e+00 3.890996450548474872e+00 -1.648484439165249062e-03 6.058280845999897579e+00
4.500000000000000000e+01 4.668597386086776879e+00 3.910498166716597890e+00 1.465544067954614206e-03 6.089975337642146158e+00
5.250000000000000000e+01 4.688670771244368041e+00 3.925800381802804662e+00 -1.292856729378358055e-03 6.115189605430303210e+00
6.000000000000000000e+01 4.708097545201453293e+00 3.939400732889744461e+00 1.162069002685651130e-03 6.138816007979761125e+00
6.750000000000000000e+01 4.723596746441962146e+00 3.950156409025110893e+00 -1.041355293471750258e-03 6.157605294526444339e+00
7.500000000000000000e+01 4.739421825012830602e+00 3.958907914311379894e+00 9.333343274950902562e-04 6.175360068896242005e+00
8.250000000000000000e+01 4.752191062801223609e+00 3.965846714135120354e+00 -8.335855018525637058e-04 6.189609095269986483e+00
9.000000000000000000e+01 4.764527432521744821e+00 3.971292262591439748e+00 7.374356876169352228e-04 6.202570792339438199e+00
9.750000000000000000e+01 4.775213072518503132e+00 3.975637579313000547e+00 -6.587898175273507314e-04 6.213562141316473664e+00
1.050000000000000000e+02 4.784635181063930709e+00 3.980017192494357037e+00 5.940508916213387653e-04 6.223605950035863366e+00
1.125000000000000000e+02 4.793630921127950195e+00 3.983676908617507451e+00 -5.358802083903248248e-04 6.232862858062412137e+00
1.200000000000000000e+02 4.801262987924975079e+00 3.987718662852346441e+00 4.894286139378704621e-04 6.241316099415213259e+00
1.275000000000000000e+02 4.808587235862463061e+00 3.991239217370626147e+00 -4.436629482780092256e-04 6.249200100173901262e+00
1.350000000000000000e+02 4.814688931847084241e+00 3.993964616104880960e+00 3.951359888259665465e-04 6.255636100452221626e+00
1.425000000000000000e+02 4.819602208164116774e+00 3.996136203169378120e+00 -3.539446989876950068e-04 6.260804271377460317e+00
1.500000000000000000e+02 4.824787242570909740e+00 3.998113966196746194e+00 3.094894064621517282e-04 6.266058355821159331e+00
1.575000000000000000e+02 4.829201576736970480e+00 3.998827652936113086e+00 -2.745579755790229825e-04 6.269913120771887449e+00
1.650000000000000000e+02 4.833175337969175089e+00 3.999508221852191348e+00 2.510833925500431251e-04 6.273408158828787329e+00
1.725000000000000000e+02 4.836637937410471544e+00 3.999256444431210422e+00 -2.351384958394613924e-04 6.275915765943078206e+00
1.800000000000000000e+02 4.839742782767027407e+00 3.999313885980649630e+00 2.235425470247706637e-04 6.278345467709979921e+00
1.875000000000000000e+02 4.843195186152640552e+00 3.998520951299350479e+00 -2.081894580539904167e-04 6.280502324853866725e+00
1.950000000000000000e+02 4.846871773848606679e+00 3.997226929290125685e+00 1.906606942739200595e-04 6.282514556507131864e+00
2.025000000000000000e+02 4.850884612344077418e+00 3.995677224936536209e+00 -1.732716257313980537e-04 6.284625528874107303e+00
2.100000000000000000e+02 4.854405264469635384e+00 3.993722605526129232e+00 1.563995290005113826e-04 6.286101394828254918e+00
2.175000000000000000e+02 4.857149201776898018e+00 3.991357185610447722e+00 -1.430770217830431960e-04 6.286718585392314651e+00
2.250000000000000000e+02 4.859921849170600439e+00 3.988383775438102852e+00 1.275116905068676872e-04 6.286974275156763881e+00
2.325000000000000000e+02 4.862652019397825320e+00 3.985338535258124981e+00 -1.218937985701956677e-04 6.287154198620010348e+00
2.400000000000000000e+02 4.865215997204741960e+00 3.981562169547477215e+00 1.197343601946791123e-04 6.286745105677886691e+00
2.475000000000000000e+02 4.867596563077815297e+00 3.977606965714162612e+00 -1.136632255638873103e-04 6.286084113938033902e+00
2.550000000000000000e+02 4.870101038912267200e+00 3.973555706665617748e+00 1.084962254052405331e-04 6.285461724882323686e+00
2.625000000000000000e+02 4.871282747312137396e+00 3.969459317816860011e+00 -1.027321460240180099e-04 6.283788896089514076e+00
2.700000000000000000e+02 4.872364101296402517e+00 3.965973064780075052e+00 1.005940962037027252e-04 6.282425828951913260e+00
2.775000000000000000e+02 4.873737437405025297e+00 3.963272122453622259e+00 -9.651957703234444815e-05 6.281786571883620773e+00
2.850000000000000000e+02 4.875335846426428255e+00 3.961011530107927836e+00 8.729944437406231955e-05 6.281601066982815063e+00
2.925000000000000000e+02 4.876539404476698536e+00 3.959016405632928226e+00 -8.262583481304948798e-05 6.281277534889829539e+00
3.000000000000000000e+02 4.877289167745342269e+00 3.957149670181488776e+00 7.954673333483750321e-05 6.280683334188342570e+00
3.075000000000000000e+02 4.878864326575634180e+00 3.954883709865397279e+00 -7.979740601790019053e-05 6.280479462752714959e+00
3.150000000000000000e+02 4.881064869215534507e+00 3.952969662575025023e+00 8.022329546698180784e-05 6.280984271367374028e+00
3.225000000000000000e+02 4.882413560136747321e+00 3.951125334260718880e+00 -7.991926646520448017e-05 6.280872040221099795e+00
3.300000000000000000e+02 4.884542593567208435e+00 3.948938241903863666e+00 7.804217358122363644e-05 6.281151931997317028e+00
3.375000000000000000e+02 4.887044890654308027e+00 3.946738450489294170e+00 -7.384237782213699558e-05 6.281715702361394094e+00
3.450000000000000000e+02 4.889425768544957585e+00 3.944208591629197347e+00 6.670578922060917289e-05 6.281979446388112009e+00
3.525000000000000000e+02 4.892308084061459894e+00 3.941478766052728400e+00 -6.044429824097962106e-05 6.282510107932271382e+00
3.600000000000000000e+02 4.895256638308095098e+00 3.938689722939511473e+00 5.692579322389993627e-05 6.283057718319110307e+00
3.675000000000000000e+02 4.897942509720633275e+00 3.935625011095862824e+00 -5.476799245123717814e-05 6.283230463662087928e+00
3.750000000000000000e+02 4.900905534576139644e+00 3.932080768513557256e+00 5.154664231004760829e-05 6.283321910550998979e+00
3.825000000000000000e+02 4.903965083465967822e+00 3.928901168664903576e+00 -4.755305796451437010e-05 6.283720071363070758e+00
3.900000000000000000e+02 4.907199753745834059e+00 3.925523176801439806e+00 4.480462209260109238e-05 6.284134119890813608e+00
3.975000000000000000e+02 4.910039463287616535e+00 3.922894324190847826e+00 -3.904621255156856167e-05 6.284710606808806332e+00
4.050000000000000000e+02 4.913252772743955887e+00 3.920322732936434296e+00 3.297214041558364252e-05 6.285617164633996445e+00
4.125000000000000000e+02 4.917199960303885398e+00 3.918495600826232828e+00 -2.788134584036786178e-05 6.287564172561934228e+00
4.200000000000000000e+02 4.920915326702847814e+00 3.916096391069358695e+00 1.906050602997284491e-05 6.288975957744531442e+00
4.275000000000000000e+02 4.924332071315911108e+00 3.913738882179853551e+00 -9.572857211743407115e-06 6.290182698981683806e+00
4.350000000000000000e+02 4.927131240182652583e+00 3.911497805454105414e+00 3.969581432444394625e-06 6.290980634215296519e+00
4.425000000000000000e+02 4.929058130713864117e+00 3.908856980112005886e+00 2.391731377181966085e-06 6.290848666669110578e+00
4.500000000000000000e+02 4.931079994702321834e+00 3.905985915051364277e+00 -1.087181212337534557e-05 6.290649877624035824e+00
4.575000000000000000e+02 4.933473653693131844e+00 3.903415573776681580e+00 1.610320153525849455e-05 6.290931205596347553e+00
4.650000000000000000e+02 4.935546802853473913e+00 3.900510202227594814e+00 -1.348965167684069739e-05 6.290755287008123808e+00
4.725000000000000000e+02 4.938317916623542914e+00 3.897592099459448178e+00 8.412476714223585727e-06 6.291121364231067936e+00
4.800000000000000000e+02 4.940966748186103707e+00 3.894774771139771552e+00 -8.958823649383944169e-06 6.291456343698800247e+00
4.875000000000000000e+02 4.943987197612633722e+00 3.892096859163100664e+00 1.571200523968518245e-05 6.292171912107277443e+00
4.950000000000000000e+02 4.947676956933134029e+00 3.889002058758427083e+00 -1.878009862532909811e-05 6.293158529986917493e+00
5.025000000000000000e+02 4.950874477603955270e+00 3.886287699054096656e+00 2.056647616107107852e-05 6.293996359486745185e+00
5.100000000000000000e+02 4.954151077624001864e+00 3.884306093522118530e+00 -2.322264088313042823e-05 6.295351199785077512e+00
5.175000000000000000e+02 4.957184329324606509e+00 3.882949534867854435e+00 2.405483704784619088e-05 6.296901902190518818e+00
5.250000000000000000e+02 4.959680410658311445e+00 3.881791224966034459e+00 -2.516866854281444137e-05 6.298153133318097119e+00
