# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 3.110379025082355420e-01 8.386432750779758416e-02 -8.424278904607146456e-03 2.768398258328177430e-01 -7.393066407700176791e-03 1.090081374937206318e-02 2.993892710452126238e-01
7.500000000000000000e+00 3.155088837377770794e-01 5.328980641030420934e-02 -2.141789473196649418e-02 2.917941523587424535e-01 -1.698926899100717050e-02 1.885978509080508958e-02 3.130814105936622904e-01
1.500000000000000000e+01 2.734440599642558589e-01 2.457304253732585375e-02 -2.832053766346674661e-02 2.555805313416626978e-01 -2.224305425506083525e-02 5.143189579684297186e-02 2.902282435513807712e-01
2.250000000000000000e+01 2.505537470074470363e-01 1.180694328007146285e-02 -2.886903826543809129e-02 2.303360753945549178e-01 -2.270061391862912906e-02 7.388411500301739210e-02 2.773869687025096731e-01
3.000000000000000000e+01 2.356930190190125451e-01 4.237617291301114253e-03 -2.980134099900134254e-02 2.119995354020671186e-01 -2.316389514615446038e-02 9.350796472487224453e-02 2.706002595729759541e-01
3.750000000000000000e+01 2.242690114778164989e-01 -6.035875101627972538e-04 -2.943738262060314331e-02 1.978448189491170406e-01 -2.296210363430849222e-02 1.076770301913999167e-01 2.648954303091667351e-01
4.500000000000000000e+01 2.155933260838550358e-01 -2.839249929476272711e-03 -2.960809692064398160e-02 1.867474561924878651e-01 -2.285987874842044382e-02 1.188607909716330596e-01 2.606007866239880011e-01
5.250000000000000000e+01 2.088654379576995734e-01 -4.244748312208321273e-03 -2.920500268254737700e-02 1.771793218134706249e-01 -2.258087306305634964e-02 1.284922152712671684e-01 2.572684875212186695e-01
6.000000000000000000e+01 2.032384818331746945e-01 -5.054496928961856560e-03 -2.918026047978859033e-02 1.696368385657061606e-01 -2.238066903767026855e-02 1.358256901600229660e-01 2.543505052794519106e-01
6.750000000000000000e+01 1.970882707126983269e-01 -5.299931839605211657e-03 -2.883581260373347874e-02 1.627005914696314781e-01 -2.217538117913766746e-02 1.432608307748547694e-01 2.515248464785923010e-01
7.500000000000000000e+01 1.928585699018280919e-01 -6.267097407476341850e-03 -2.873145735495504643e-02 1.570195828219708156e-01 -2.191927552195885309e-02 1.488645278307073050e-01 2.493713402772531063e-01
8.250000000000000000e+01 1.896574656618035815e-01 -6.857122951138165841e-03 -2.837609526758804596e-02 1.523808551702434677e-01 -2.174435192117602639e-02 1.546830181923704584e-01 2.483606695122087538e-01
9.000000000000000000e+01 1.868109050835224660e-01 -7.163781728316540032e-03 -2.812464778906240831e-02 1.485480704810997754e-01 -2.152398384608401188e-02 1.585463500937558112e-01 2.469526628291890402e-01
9.750000000000000000e+01 1.834421898270017781e-01 -7.239948301839512976e-03 -2.778278953964305464e-02 1.445947579431520469e-01 -2.127992862673995164e-02 1.627425883203032220e-01 2.453897680452284957e-01
1.050000000000000000e+02 1.801806408957731254e-01 -6.758690812947471850e-03 -2.757771407750523110e-02 1.413920414966362005e-01 -2.105172840617112323e-02 1.655387344316648079e-01 2.435557084120370530e-01
1.125000000000000000e+02 1.761424485733660283e-01 -6.291970779410667111e-03 -2.722468671908905014e-02 1.380263710123397214e-01 -2.084494699368697260e-02 1.690154527438938459e-01 2.415921361647997978e-01
1.200000000000000000e+02 1.727565524612242609e-01 -5.727860436050798316e-03 -2.696834780893787517e-02 1.352572392426641401e-01 -2.060635415318331359e-02 1.714891269796096906e-01 2.397514593417490736e-01
1.275000000000000000e+02 1.696002371740355230e-01 -5.419102146287884877e-03 -2.662978182011098774e-02 1.327319828976223082e-01 -2.041717165987694954e-02 1.749301002089566348e-01 2.386311601403072191e-01
1.350000000000000000e+02 1.663670206881339153e-01 -4.868009281748455694e-03 -2.635945658503391700e-02 1.311774620496483912e-01 -2.021086554066693630e-02 1.775452041673388492e-01 2.375448434525606056e-01
1.425000000000000000e+02 1.631024857250375770e-01 -4.253314722108158218e-03 -2.604605952771672089e-02 1.293969375296737390e-01 -2.001031276577971973e-02 1.807838402202923411e-01 2.366416317375018563e-01
1.500000000000000000e+02 1.593250935055947060e-01 -3.373225284231681689e-03 -2.576746534400599711e-02 1.265382470123099234e-01 -1.978399097242119348e-02 1.832804398582943695e-01 2.345718901880994856e-01
1.575000000000000000e+02 1.553599881864708432e-01 -2.736423155787917703e-03 -2.548363423425357294e-02 1.238762760993257633e-01 -1.959611260918421929e-02 1.863619600434214540e-01 2.327991121646090233e-01
1.650000000000000000e+02 1.523514809082838484e-01 -1.956025305684648725e-03 -2.521241465196752407e-02 1.213967342172776881e-01 -1.941480893535846644e-02 1.886103759321478834e-01 2.311792955288546891e-01
1.725000000000000000e+02 1.489460898097538233e-01 -1.409211625322739610e-03 -2.487685033097416371e-02 1.195997439519919520e-01 -1.926543243164270322e-02 1.911210524136219835e-01 2.298334430876838863e-01
1.800000000000000000e+02 1.448631159581431904e-01 -8.476625806458690628e-04 -2.459510309105560413e-02 1.181369303929914460e-01 -1.910079891857272699e-02 1.928911893730545501e-01 2.279456178620945794e-01
1.875000000000000000e+02 1.405142992642741395e-01 -4.674239967535124239e-04 -2.428177093748572213e-02 1.170197773960353488e-01 -1.891517938770701651e-02 1.952093142132323433e-01 2.263716954367709089e-01
1.950000000000000000e+02 1.365377452007147940e-01 2.727099228216687315e-05 -2.394472250610700514e-02 1.154051146597525473e-01 -1.877021558722998668e-02 1.968899430817494800e-01 2.244164014711084176e-01
