# z, u, v, w, u_mag
0.000000000000000000e+00 3.676446228495318103e+00 3.099652177571794009e+00 9.795356149627051923e-03 4.808762464703898232e+00
7.500000000000000000e+00 4.344134536590744666e+00 3.647722376673891986e+00 -8.241871424296064869e-03 5.672517195895705910e+00
1.500000000000000000e+01 4.525810453313039439e+00 3.798200216679977093e+00 6.268744911624696443e-03 5.908411329830394187e+00
2.250000000000000000e+01 4.592194843282449312e+00 3.849847983842740184e+00 -5.444784880173398831e-03 5.992462984704229001e+00
3.000000000000000000e+01 4.630848195500665732e+00 3.879248501029285201e+00 4.677513528278492462e-03 6.040972257976569892e+00
3.750000000000000000e+01 4.655316517577272606e+00 3.898346306307672648e+00 -4.043666234276568211e-03 6.071992436916162639e+00
4.500000000000000000e+01 4.675323086790635685e+00 3.914053078792554263e+00 3.553111407578325547e-03 6.097415033773218696e+00
5.250000000000000000e+01 4.691394304617977795e+00 3.927030204854147666e+00 -3.106397784048066379e-03 6.118068028466666419e+00
6.000000000000000000e+01 4.706455494531486927e+00 3.938704892523442691e+00 2.755420637632970040e-03 6.137110651172636544e+00
6.750000000000000000e+01 4.718723913786603497e+00 3.948466961633437133e+00 -2.431884411639907099e-03 6.152784136934607240e+00
7.500000000000000000e+01 4.728596924307126415e+00 3.957134137552497766e+00 2.159272804323158265e-03 6.165917946065225586e+00
8.250000000000000000e+01 4.737278385364663613e+00 3.964732981006585000e+00 -1.913655103293414620e-03 6.177452369156759104e+00
9.000000000000000000e+01 4.746318210773565305e+00 3.970198554071399766e+00 1.717171404260845694e-03 6.187892699889764536e+00
9.750000000000000000e+01 4.756612191816331325e+00 3.975812642473646630e+00 -1.515411750349238834e-03 6.199390938460150657e+00
1.050000000000000000e+02 4.766254869114960435e+00 3.980163863440424610e+00 1.360844756465327387e-03 6.209580638746672321e+00
1.125000000000000000e+02 4.776939294964164695e+00 3.984518704516683663e+00 -1.205294349282512835e-03 6.220573911396802380e+00
1.200000000000000000e+02 4.787610919440970392e+00 3.987537632905986396e+00 1.089297331595934660e-03 6.230704284136791671e+00
1.275000000000000000e+02 4.798231461262068898e+00 3.990493850839958778e+00 -9.755752615409625083e-04 6.240758550143062244e+00
1.350000000000000000e+02 4.808576843944586621e+00 3.992585274512753024e+00 8.829828820538791929e-04 6.250051937226996479e+00
1.425000000000000000e+02 4.818058872846799012e+00 3.994504644288566997e+00 -7.819578978896321196e-04 6.258574859096825982e+00
1.500000000000000000e+02 4.827240915838975965e+00 3.997278020446371372e+00 7.134865892362718008e-04 6.267414693584324681e+00
