# z, uu, uv, uw, vv, vw, ww
3.000000000000000000e+00 1.766223841255888938e-01 -2.141066508804789076e-02 -3.027891103049938377e-03 2.379125778962939419e-01 -2.491733178720720830e-03 1.078946707524656382e-03
9.000000000000000000e+00 2.173730868258617610e-01 -2.289375088028830930e-03 -1.477544505187275946e-02 2.803424208356400937e-01 -1.165771439131611971e-02 8.798691120959354489e-03
1.500000000000000000e+01 2.326042280927013428e-01 1.517460505194255559e-03 -2.343055251950452306e-02 3.016517172647080747e-01 -1.761418689811730665e-02 2.092384031325606603e-02
2.100000000000000000e+01 2.333319540028332972e-01 -2.769292511517327431e-04 -2.787893485998929957e-02 3.085915393694753650e-01 -2.006991240960477596e-02 3.438321775433190314e-02
2.700000000000000000e+01 2.266726734612197203e-01 -3.294780031621228830e-03 -3.003222130031037510e-02 3.063756560636138326e-01 -2.079928907504221061e-02 4.771422226839315550e-02
3.300000000000000000e+01 2.169761540096068198e-01 -6.570285363510808621e-03 -3.124425566362028922e-02 2.999589424457648756e-01 -2.084376691333941767e-02 6.037966115206131607e-02
3.900000000000000000e+01 2.072056176760498636e-01 -9.594954862351777816e-03 -3.205013909135297906e-02 2.930404441360072165e-01 -2.063038118947031763e-02 7.210095472196960398e-02
4.500000000000000000e+01 1.982577078125791481e-01 -1.231467233048863866e-02 -3.267053162177405157e-02 2.867709468091250713e-01 -2.030708481366909693e-02 8.276821992758787161e-02
5.100000000000000000e+01 1.903407932401663671e-01 -1.475210904262623871e-02 -3.317497557515441259e-02 2.815606530050571155e-01 -1.992685342298127979e-02 9.242491090258816988e-02
5.700000000000000000e+01 1.834740154524715505e-01 -1.669880131213322128e-02 -3.361656933067594388e-02 2.771104770593829647e-01 -1.951567465196668918e-02 1.012196197978236789e-01
6.300000000000000000e+01 1.777147324293165409e-01 -1.811074570204191519e-02 -3.398732930269447033e-02 2.730545473596515671e-01 -1.905705310096167740e-02 1.093094422456385023e-01
6.900000000000000000e+01 1.731708343601131850e-01 -1.900784034962030300e-02 -3.434208051256337768e-02 2.691995327587890507e-01 -1.860539375983400606e-02 1.168360109155534982e-01
7.500000000000000000e+01 1.693952242117722495e-01 -1.959590035419961351e-02 -3.461307645334490979e-02 2.650854898794228198e-01 -1.809574463851992485e-02 1.239525616937170588e-01
8.100000000000000000e+01 1.664963102527779459e-01 -1.984725848881597685e-02 -3.494284011111088717e-02 2.609753360451629867e-01 -1.763384835991851571e-02 1.307745538481754899e-01
8.700000000000000000e+01 1.638151949793728579e-01 -2.012469086906822080e-02 -3.515546543779202865e-02 2.564871836226820245e-01 -1.708319850850896840e-02 1.374199259137439399e-01
9.300000000000000000e+01 1.617711996766941773e-01 -2.051563893745576850e-02 -3.551249678443503532e-02 2.521966455550520569e-01 -1.665400356934177220e-02 1.438855720015021211e-01
9.900000000000000000e+01 1.597274574731409602e-01 -2.101767576430591325e-02 -3.571593446933207100e-02 2.470161324767538302e-01 -1.611962895833890866e-02 1.503030737155170993e-01
1.050000000000000000e+02 1.577816856323511763e-01 -2.164826259226574137e-02 -3.589596202306451211e-02 2.415261777242901087e-01 -1.558373358627948221e-02 1.567573970937332639e-01
1.110000000000000000e+02 1.559830245876085708e-01 -2.214944073942466674e-02 -3.613128380000663054e-02 2.354618631196687129e-01 -1.511375130514638551e-02 1.631803572234622746e-01
1.170000000000000000e+02 1.542118885805634498e-01 -2.257919522531294174e-02 -3.630207023013211354e-02 2.290601350384967316e-01 -1.461363209323454475e-02 1.696031450636318050e-01
1.230000000000000000e+02 1.527627983009862134e-01 -2.279960642071448412e-02 -3.648452587717294221e-02 2.225599691099682809e-01 -1.415006995089030349e-02 1.759968359136453719e-01
1.290000000000000000e+02 1.516173595031027610e-01 -2.284696292898698300e-02 -3.662742054460157298e-02 2.161019507194661959e-01 -1.367450709153160936e-02 1.823271894375766145e-01
1.350000000000000000e+02 1.506612249330891162e-01 -2.273730794998860341e-02 -3.676386805957521792e-02 2.098730130189288834e-01 -1.322204214937077946e-02 1.885377377225894435e-01
1.410000000000000000e+02 1.498862141580536156e-01 -2.253460584169747136e-02 -3.687178102972676896e-02 2.039555729498770120e-01 -1.277264985267348961e-02 1.945783596048870356e-01
1.470000000000000000e+02 1.492348286858916351e-01 -2.223573065388961476e-02 -3.696325267360131561e-02 1.984552639184187506e-01 -1.234155320450576639e-02 2.004198845802827034e-01
1.530000000000000000e+02 1.487690762119500132e-01 -2.187590876509349150e-02 -3.703211118191176987e-02 1.934804828248279096e-01 -1.192375777499145133e-02 2.060570178067551161e-01
1.590000000000000000e+02 1.484742809995709401e-01 -2.155505858567846947e-02 -3.708427329478713314e-02 1.889982751203770073e-01 -1.151660175685997704e-02 2.115009301840825306e-01
1.650000000000000000e+02 1.483368520112587352e-01 -2.131083646900358564e-02 -3.712249085309883567e-02 1.850007228879061993e-01 -1.112867443542001761e-02 2.167626812572863437e-01
1.710000000000000000e+02 1.482987851373995247e-01 -2.107573811169729389e-02 -3.713641044724292489e-02 1.813264286601887210e-01 -1.074952439959042660e-02 2.218644276357265854e-01
1.770000000000000000e+02 1.484983416212200535e-01 -2.076049425986981750e-02 -3.714154853079643798e-02 1.780156996727040863e-01 -1.039376603871347733e-02 2.268066244995195491e-01
1.830000000000000000e+02 1.487465574252453404e-01 -2.027607652508403580e-02 -3.712102293611540399e-02 1.748157330235805829e-01 -1.004173071983956861e-02 2.316117974810268099e-01
1.890000000000000000e+02 1.492434140549186439e-01 -1.972122921267804169e-02 -3.711609843859045577e-02 1.720185110123925165e-01 -9.730539506650846132e-03 2.362254913230182052e-01
1.950000000000000000e+02 1.497107659447711181e-01 -1.902340706920748262e-02 -3.706871210944699679e-02 1.692668582285083434e-01 -9.410535357767002909e-03 2.407044199630797854e-01
2.010000000000000000e+02 1.502427575069766041e-01 -1.842790463697831227e-02 -3.701666301599482178e-02 1.666708418972830674e-01 -9.094416152860751099e-03 2.450478896070310830e-01
2.070000000000000000e+02 1.511633233879771110e-01 -1.774745813745482945e-02 -3.695905716440790745e-02 1.641773346308286197e-01 -8.810132617851429773e-03 2.491364479554891709e-01
2.130000000000000000e+02 1.522301574509322686e-01 -1.714485789128244314e-02 -3.687633406434037697e-02 1.617478907195587789e-01 -8.525383387893834333e-03 2.529671238463188088e-01
2.190000000000000000e+02 1.535506451499406844e-01 -1.652160937490101955e-02 -3.678693482888447525e-02 1.594208041254069064e-01 -8.265765115887516168e-03 2.565120600969182374e-01
2.250000000000000000e+02 1.549114962282537866e-01 -1.593168732968316612e-02 -3.666974119612319977e-02 1.571731214692718426e-01 -8.006171738039986191e-03 2.597740637298278643e-01
2.310000000000000000e+02 1.563275433870496833e-01 -1.526436403805816501e-02 -3.653711287620540343e-02 1.549531429442556063e-01 -7.753439435677422949e-03 2.627651420998825538e-01
2.370000000000000000e+02 1.576622970093354836e-01 -1.451449846925751200e-02 -3.638095890533525611e-02 1.527476538833927866e-01 -7.495748143134132145e-03 2.655189779612998624e-01
