# z, u, v, w
3.000000000000000000e+00 3.676246142779524106e+00 3.186166636992171508e+00 2.268424438161345560e-10
9.000000000000000000e+00 4.072824285312013792e+00 3.502906492751005185e+00 2.995933661603359731e-10
1.500000000000000000e+01 4.319100031223689129e+00 3.686195489136200099e+00 2.388515860472697327e-10
2.100000000000000000e+01 4.460121001429017795e+00 3.783773605753915970e+00 3.042696216349005994e-10
2.700000000000000000e+01 4.542865790970860296e+00 3.837482736812903195e+00 2.683532371733056446e-10
3.300000000000000000e+01 4.595740135205878651e+00 3.870173319017539360e+00 2.847879990743138493e-10
3.900000000000000000e+01 4.632857676264977798e+00 3.892880459644602720e+00 2.340102570080068898e-10
4.500000000000000000e+01 4.660571566801952947e+00 3.909816213310381094e+00 2.313257058037958416e-10
5.100000000000000000e+01 4.682324495800357589e+00 3.923154921750869217e+00 2.404683447118085351e-10
5.700000000000000000e+01 4.700355965269551461e+00 3.934009590522097088e+00 2.754767704172633999e-10
6.300000000000000000e+01 4.716076587101227346e+00 3.943263324708461859e+00 3.103330248442078575e-10
6.900000000000000000e+01 4.730146526713959965e+00 3.951320135338272088e+00 3.084962844735039494e-10
7.500000000000000000e+01 4.743307030477629915e+00 3.958723100432394837e+00 3.185979656868516432e-10
8.100000000000000000e+01 4.755186330165870778e+00 3.965463789542783335e+00 2.875552880766995540e-10
8.700000000000000000e+01 4.766168838733940483e+00 3.972156531043040673e+00 3.152381338660328367e-10
9.300000000000000000e+01 4.775045266578668013e+00 3.977999103461341335e+00 2.943164514636548678e-10
9.900000000000000000e+01 4.783856090120734983e+00 3.984402416110076395e+00 3.521308986179181263e-10
1.050000000000000000e+02 4.790842287036667813e+00 3.989744012813002172e+00 2.644861816815364098e-10
1.110000000000000000e+02 4.797395564857068528e+00 3.995025211396221021e+00 3.495830784252244232e-10
1.170000000000000000e+02 4.803053573721347114e+00 3.999649755264893525e+00 2.272482150013783421e-10
1.230000000000000000e+02 4.808213651662056165e+00 4.003918404498444161e+00 1.938883160840121329e-10
1.290000000000000000e+02 4.812773283589965700e+00 4.007573272878075521e+00 2.100851241928491445e-10
1.350000000000000000e+02 4.817056349726641429e+00 4.010904159896933940e+00 4.163848223712819494e-10
1.410000000000000000e+02 4.820955929561112185e+00 4.013917365721312080e+00 2.502670043624788757e-10
1.470000000000000000e+02 4.824572936062787143e+00 4.016820686344341418e+00 3.280172972277569492e-10
1.530000000000000000e+02 4.827818679276452585e+00 4.019621282358177616e+00 1.699319968526688812e-10
1.590000000000000000e+02 4.830719734554323352e+00 4.022416260267721810e+00 1.249452688488760099e-10
1.650000000000000000e+02 4.833133167386716167e+00 4.025205035090318795e+00 6.837508641834043712e-11
1.710000000000000000e+02 4.835185934787366691e+00 4.028064561073786187e+00 2.352158296087996374e-10
1.770000000000000000e+02 4.836906833263747707e+00 4.030737400116554348e+00 2.992353215442844027e-10
1.830000000000000000e+02 4.838503274972230095e+00 4.033199861567035249e+00 -1.380847787823332402e-10
1.890000000000000000e+02 4.839775140836226619e+00 4.035159306166427484e+00 -1.054504973949490069e-10
1.950000000000000000e+02 4.841107897508099889e+00 4.036827016277054092e+00 4.172516014483949842e-11
2.010000000000000000e+02 4.842210710297104370e+00 4.037890380911599131e+00 -1.491815878283502077e-10
2.070000000000000000e+02 4.843277553583106965e+00 4.038728171095192998e+00 -8.973034248331395491e-11
2.130000000000000000e+02 4.844151247205056521e+00 4.039281455053784775e+00 -1.482306320633054163e-10
2.190000000000000000e+02 4.844860163468374559e+00 4.039509220787961041e+00 -1.957642983457189648e-10
2.250000000000000000e+02 4.845279589128892006e+00 4.039332566132920022e+00 -1.354851291084785477e-10
2.310000000000000000e+02 4.845587311869213210e+00 4.038924215211358693e+00 -2.345158051928267061e-11
2.370000000000000000e+02 4.845790764966426245e+00 4.038433162174409397e+00 -7.625919654016821531e-11
2.430000000000000000e+02 4.845906337627327254e+00 4.037897065113611461e+00 -3.838865025151266510e-11
2.490000000000000000e+02 4.845982641479656294e+00 4.037205958484134882e+00 -9.173692710412809463e-11
