# z, uu, uv, uw, vv, vw, ww
3.000000000000000000e+00 1.641713175873244501e-01 2.016090199458707433e-02 -6.154896542367054892e-03 2.280566356462621624e-01 9.590303151736981595e-05 1.984599145949432313e-03
9.000000000000000000e+00 2.296176302186736795e-01 2.349284988051837664e-02 -2.799745078985726651e-02 2.531605030802657752e-01 5.101358705520360514e-04 1.515432324172778962e-02
1.500000000000000000e+01 2.356407314633857386e-01 2.462641559331525676e-02 -3.633881010092552405e-02 2.680842002083282383e-01 1.016165415863821324e-03 3.293274900940807576e-02
2.100000000000000000e+01 2.288297232189134278e-01 2.502024596383851246e-02 -4.275458936795187986e-02 2.730748171151173853e-01 1.379058899177317736e-03 4.980806828015828941e-02
2.700000000000000000e+01 2.166355448741985601e-01 2.515119839182730979e-02 -4.239694139206311857e-02 2.707282220640138126e-01 1.645651197634547111e-03 6.456994214432547341e-02
3.300000000000000000e+01 2.025400779906745274e-01 2.531178474940888601e-02 -4.395196256259117223e-02 2.649599789709206066e-01 1.814738170233667425e-03 7.744681683369201985e-02
3.900000000000000000e+01 1.905915880010272123e-01 2.490889033473200898e-02 -4.293442657250387540e-02 2.574462055112751169e-01 1.965597808282735798e-03 8.862913255364131271e-02
4.500000000000000000e+01 1.790776035868984206e-01 2.442287148486177450e-02 -4.340410971981311511e-02 2.495713554342539331e-01 2.073297199822809328e-03 9.839699933910499297e-02
5.100000000000000000e+01 1.699525735649100588e-01 2.357282969225828542e-02 -4.256583821293894593e-02 2.413608800777810315e-01 2.180597468210432495e-03 1.069724544479843387e-01
5.700000000000000000e+01 1.616022107134097163e-01 2.277709484698209677e-02 -4.262132235576968076e-02 2.334406463963525635e-01 2.250700839258002513e-03 1.146062410867207809e-01
6.300000000000000000e+01 1.546359299335074156e-01 2.162683451590070860e-02 -4.195889910892872110e-02 2.255901757411180875e-01 2.313109855575901617e-03 1.214464837981049233e-01
6.900000000000000000e+01 1.481623094174521482e-01 2.040166111521930781e-02 -4.182664928225320738e-02 2.179747658560202972e-01 2.351378887927860900e-03 1.275377372094217698e-01
7.500000000000000000e+01 1.428163646797911968e-01 1.909096191959856054e-02 -4.129963235859005627e-02 2.104608730648927228e-01 2.386486621045266158e-03 1.328833449129925570e-01
8.100000000000000000e+01 1.380656890387661206e-01 1.786010758675611945e-02 -4.107356070795518260e-02 2.033060916496621240e-01 2.405417906305430415e-03 1.375581623243911644e-01
8.700000000000000000e+01 1.340375649598148922e-01 1.659795731294520793e-02 -4.061972924652223343e-02 1.964454603906543584e-01 2.440965987051757404e-03 1.416981562203062650e-01
9.300000000000000000e+01 1.302706305892578353e-01 1.536002941914233096e-02 -4.034110958330376639e-02 1.899712597587607521e-01 2.480670754177707622e-03 1.454393957289864536e-01
9.900000000000000000e+01 1.267307750187451065e-01 1.432384742343561189e-02 -3.993577789993445204e-02 1.838916071477567360e-01 2.525432444211460348e-03 1.489109604312450763e-01
1.050000000000000000e+02 1.233715400917006905e-01 1.337856868456283391e-02 -3.964456552538647705e-02 1.782213580688609689e-01 2.581815958113718463e-03 1.522334404470778724e-01
1.110000000000000000e+02 1.202467598915371583e-01 1.251531372787357058e-02 -3.928136109036038659e-02 1.729622608244779092e-01 2.630997495195991787e-03 1.554778136203893713e-01
