# z, u, v, w
3.000000000000000000e+00 5.069013055215370045e+00 3.492418727933655626e-02 2.428721887286026622e-10
9.000000000000000000e+00 5.558718513622535440e+00 2.861815684523959236e-02 3.136160691841891059e-10
1.500000000000000000e+01 5.790645052692767081e+00 2.072417232735406997e-02 2.903136425582022336e-10
2.100000000000000000e+01 5.928714978474084241e+00 1.485985166849102153e-02 3.186152714819244700e-10
2.700000000000000000e+01 5.993938951915623647e+00 1.058890409911613859e-02 2.998581038531620285e-10
3.300000000000000000e+01 6.044438286359516077e+00 7.545679798456609438e-03 3.061844578924622788e-10
3.900000000000000000e+01 6.071942629747157483e+00 5.092785242671078391e-03 3.043320027873197899e-10
4.500000000000000000e+01 6.097564486166873188e+00 3.136480239594965479e-03 2.823403054123385164e-10
5.100000000000000000e+01 6.113664003495260957e+00 1.359008448717270679e-03 3.121737754021528616e-10
5.700000000000000000e+01 6.129623053076333150e+00 -3.283206100086030386e-04 2.898126438488353344e-10
6.300000000000000000e+01 6.140588238918520680e+00 -1.744844828203918809e-03 3.243618809578661065e-10
6.900000000000000000e+01 6.151495050742693316e+00 -2.840753634967727818e-03 2.793722117021843716e-10
7.500000000000000000e+01 6.159760153336516275e+00 -3.787107987473819354e-03 3.159761748486528307e-10
8.100000000000000000e+01 6.167751040013953912e+00 -4.659210721058518016e-03 2.843159520916861430e-10
8.700000000000000000e+01 6.173816669776774013e+00 -5.403753064874401713e-03 2.626870619366894280e-10
9.300000000000000000e+01 6.179572840762049601e+00 -5.811682016499204219e-03 2.527118817171594316e-10
9.900000000000000000e+01 6.184254302436433370e+00 -5.947022023324631881e-03 2.631772251684538423e-10
1.050000000000000000e+02 6.188730241686952738e+00 -6.095202131346906527e-03 2.236087619830252070e-10
1.110000000000000000e+02 6.192521047934085310e+00 -6.237955865617441330e-03 2.883790123560077971e-10
1.170000000000000000e+02 6.196307183250469919e+00 -6.393474230909779697e-03 1.903228118167732287e-10
1.230000000000000000e+02 6.199767777636179922e+00 -6.766605919478503074e-03 1.634542099982448541e-10
1.290000000000000000e+02 6.203144717553395360e+00 -7.321939112065284534e-03 1.882068374495877768e-10
1.350000000000000000e+02 6.206177917825411505e+00 -7.927338162342346950e-03 3.300743446067104101e-10
1.410000000000000000e+02 6.208757435296916150e+00 -8.737849852497510741e-03 2.350584299015342799e-10
1.470000000000000000e+02 6.210701007330787782e+00 -9.588419326195193187e-03 3.082022517103370793e-10
1.530000000000000000e+02 6.212401782306421261e+00 -1.045565476350852896e-02 1.745731055667219365e-10
1.590000000000000000e+02 6.213812865979259747e+00 -1.128321841105781043e-02 1.398392700845477175e-10
1.650000000000000000e+02 6.215152322538577856e+00 -1.224887226425123640e-02 8.987449026550114618e-11
1.710000000000000000e+02 6.216437521553835666e+00 -1.337679557177091048e-02 2.396793978492322919e-10
1.770000000000000000e+02 6.217611049426640335e+00 -1.462982039185611698e-02 2.974600184426018797e-10
1.830000000000000000e+02 6.218885302944056725e+00 -1.598171846740792032e-02 -1.198602610651047096e-11
1.890000000000000000e+02 6.219859850881375607e+00 -1.715752701283686232e-02 1.428385307438231916e-11
1.950000000000000000e+02 6.221091931076574433e+00 -1.841375352143149319e-02 6.642734234863726447e-12
2.010000000000000000e+02 6.221821465351032643e+00 -1.928781068927792192e-02 -9.870954860903168015e-11
2.070000000000000000e+02 6.222612443900334078e+00 -2.009439234059708090e-02 -3.599996842378570737e-11
2.130000000000000000e+02 6.223260681805117933e+00 -2.076511402501715273e-02 -1.344937846128576045e-10
2.190000000000000000e+02 6.223971116911060975e+00 -2.150153353274722109e-02 -7.497441748792465717e-11
2.250000000000000000e+02 6.224351300015345423e+00 -2.228698829332230805e-02 -1.497021659993503601e-10
2.310000000000000000e+02 6.224412184308022233e+00 -2.322866518376692085e-02 -7.962504712003774051e-11
2.370000000000000000e+02 6.224059405907487630e+00 -2.429329822127775790e-02 -1.741438376296183112e-10
2.430000000000000000e+02 6.223485142882481114e+00 -2.533918217496493319e-02 -7.849379112796587744e-11
2.490000000000000000e+02 6.222759727281121478e+00 -2.633179685828955160e-02 -1.681812094195180646e-10
2.550000000000000000e+02 6.221910701509191455e+00 -2.705188131983664312e-02 -7.229832578465461841e-11
2.610000000000000000e+02 6.220850894528350494e+00 -2.744171599630826006e-02 -1.701725907124126900e-10
2.670000000000000000e+02 6.219658560543517289e+00 -2.759383852994362271e-02 -8.218267287798605747e-11
2.730000000000000000e+02 6.218282481312167320e+00 -2.751431875312931527e-02 -1.665521115964269160e-10
2.790000000000000000e+02 6.216746445632683304e+00 -2.727313645229030581e-02 -1.368418145431329840e-10
2.850000000000000000e+02 6.215015696756080565e+00 -2.686387887820045062e-02 -1.783818385472230112e-10
2.910000000000000000e+02 6.213189581571808340e+00 -2.626269707948422280e-02 -1.408412478228274237e-10
2.970000000000000000e+02 6.211299842926292669e+00 -2.541417505781710592e-02 -1.840192731481296577e-10
3.030000000000000000e+02 6.209473783589541718e+00 -2.454443831625336553e-02 -1.166916884318830485e-10
3.090000000000000000e+02 6.207838401231255965e+00 -2.362764519466791641e-02 -1.823378831746977406e-10
3.150000000000000000e+02 6.206393103091635055e+00 -2.263549125714862942e-02 -1.859965975462701775e-10
3.210000000000000000e+02 6.205146056937099530e+00 -2.159959786524851336e-02 -1.722639626873176391e-10
3.270000000000000000e+02 6.203938183600389067e+00 -2.042239325282792575e-02 -9.286587243466370813e-11
3.330000000000000000e+02 6.202942066452092007e+00 -1.905041381498968900e-02 -1.374649953249373832e-10
3.390000000000000000e+02 6.201936770421095702e+00 -1.747640469158988699e-02 -1.055324889070313795e-10
3.450000000000000000e+02 6.200986041566874718e+00 -1.580646545728836908e-02 -1.266955502992467158e-10
3.510000000000000000e+02 6.199909465834132938e+00 -1.389655972455450771e-02 -1.246440625594924563e-10
3.570000000000000000e+02 6.198931560650166261e+00 -1.191280948936606320e-02 -1.219786926912741362e-10
3.630000000000000000e+02 6.197660340127683298e+00 -9.870970496803842600e-03 -1.004360450428815106e-10
3.690000000000000000e+02 6.196379563324233786e+00 -8.021075586009462216e-03 -8.860075274390310985e-11
3.750000000000000000e+02 6.194858631299147156e+00 -6.300301320054707901e-03 -8.254641377380967136e-11
3.810000000000000000e+02 6.193416609350399504e+00 -4.730469784087613580e-03 -7.712692692458944564e-11
3.870000000000000000e+02 6.191842613639177095e+00 -2.908818657308973391e-03 -4.651272891625576918e-12
3.930000000000000000e+02 6.190380269140820957e+00 -1.180421337321420436e-03 2.430293843173848645e-11
3.990000000000000000e+02 6.188867685169578969e+00 7.249918439143672325e-04 5.135457403473899397e-11
4.050000000000000000e+02 6.187242238732888922e+00 2.678434114137499301e-03 5.656350632194653736e-11
