# z, uu, uv, uw, vv, vw, ww
3.000000000000000000e+00 1.805745723328427421e-01 -2.973670813617852043e-02 -3.510587580236498948e-03 1.865999753701184927e-01 -2.785379652552576364e-03 1.267817240931980389e-03
9.000000000000000000e+00 2.252342200180086351e-01 -1.085349379966283993e-02 -1.628165120451575618e-02 2.189305861254239594e-01 -1.285442817797657900e-02 1.011651287249825878e-02
1.500000000000000000e+01 2.379736657040174563e-01 -7.029317057560176447e-03 -2.320520051269920128e-02 2.299902147957846865e-01 -1.828139346530288298e-02 2.322576866314102553e-02
2.100000000000000000e+01 2.359564043032199576e-01 -8.389784744872242836e-03 -2.761407364222877303e-02 2.296183397163575057e-01 -2.175247410793468977e-02 3.699877815190773245e-02
2.700000000000000000e+01 2.275276560772782897e-01 -1.120176131110338716e-02 -2.839717548843082723e-02 2.227420143172160749e-01 -2.240504207323992455e-02 5.004966194149058217e-02
3.300000000000000000e+01 2.157505601402676387e-01 -1.488277148178933015e-02 -2.930715931466665314e-02 2.131925633438364054e-01 -2.317148347369630754e-02 6.207612776014290179e-02
3.900000000000000000e+01 2.054665276875375091e-01 -1.726677021605850515e-02 -2.903304926651588402e-02 2.038652345354344253e-01 -2.305976211342655735e-02 7.300331351788030831e-02
4.500000000000000000e+01 1.957205690766264383e-01 -1.944671605917236770e-02 -2.912684950261382189e-02 1.956442450676583455e-01 -2.323265280718811790e-02 8.294907433989232026e-02
5.100000000000000000e+01 1.878945159832731970e-01 -2.097412725512682458e-02 -2.871009017586744275e-02 1.885371561901383886e-01 -2.303858998012334527e-02 9.206127120070571601e-02
5.700000000000000000e+01 1.810133993230493288e-01 -2.243006347850448612e-02 -2.855720690975314252e-02 1.826282728309289172e-01 -2.303508561333816873e-02 1.005005595560700682e-01
6.300000000000000000e+01 1.756606509873106792e-01 -2.345867598217680691e-02 -2.811053802704261556e-02 1.772384911393328766e-01 -2.282683136120679593e-02 1.083964718130063370e-01
6.900000000000000000e+01 1.712221206349324454e-01 -2.434088708997791256e-02 -2.789269550481408150e-02 1.727581159233872177e-01 -2.275778085461381550e-02 1.158447487779208640e-01
7.500000000000000000e+01 1.673872601039583241e-01 -2.508615803906041886e-02 -2.744371452477324322e-02 1.684691695830222991e-01 -2.253750513000688308e-02 1.229593048705521358e-01
8.100000000000000000e+01 1.639256854278781650e-01 -2.560372408932705748e-02 -2.723464154247359770e-02 1.649282978677293066e-01 -2.244702510681153076e-02 1.297997562434978491e-01
8.700000000000000000e+01 1.602088863479985414e-01 -2.583626224095006071e-02 -2.679944810950255635e-02 1.611015597128553078e-01 -2.220948007454905809e-02 1.364910454099016179e-01
9.300000000000000000e+01 1.571716711590683269e-01 -2.588702468432104928e-02 -2.663865371177968899e-02 1.583096044228843036e-01 -2.212393004744378500e-02 1.429690835538095506e-01
9.900000000000000000e+01 1.540519187244385746e-01 -2.575053655501736288e-02 -2.629847237822477771e-02 1.549009114164604239e-01 -2.192789560321848838e-02 1.494193776865837264e-01
1.050000000000000000e+02 1.511274482684063780e-01 -2.587299108899401151e-02 -2.599482276902297800e-02 1.515999041735356101e-01 -2.177522734415320710e-02 1.558918039890050677e-01
1.110000000000000000e+02 1.489558124158844588e-01 -2.580964695358314853e-02 -2.575904835466946707e-02 1.488630435351792902e-01 -2.164370423669102067e-02 1.621882943873551031e-01
1.170000000000000000e+02 1.467236302389334501e-01 -2.574340358090036751e-02 -2.544709712740636856e-02 1.462762163656929071e-01 -2.150154494062989433e-02 1.683856802684805809e-01
1.230000000000000000e+02 1.447700599946233069e-01 -2.565477325123076066e-02 -2.520031433417939393e-02 1.441602114219429631e-01 -2.138543557401106215e-02 1.744761709869190325e-01
1.290000000000000000e+02 1.428453964827009481e-01 -2.571859900810682248e-02 -2.489344677015166429e-02 1.422636162912463420e-01 -2.126663228716524703e-02 1.805077671524412120e-01
