# z, u, v, w
3.000000000000000000e+00 3.785599508185907514e+00 3.194954631591492067e+00 2.275599817134657375e-10
9.000000000000000000e+00 4.177313510839079314e+00 3.517245378099039144e+00 3.008927092220320405e-10
1.500000000000000000e+01 4.396163230432972746e+00 3.695838086933804778e+00 2.400414093065220751e-10
2.100000000000000000e+01 4.522460614924070477e+00 3.796721683721953955e+00 3.058612560983270811e-10
2.700000000000000000e+01 4.588491344466364197e+00 3.847853184737989096e+00 2.699026486806721371e-10
3.300000000000000000e+01 4.631165860888081909e+00 3.880517002955805150e+00 2.865115913647882224e-10
3.900000000000000000e+01 4.657132025295722677e+00 3.900229264683899189e+00 2.355592017275955207e-10
4.500000000000000000e+01 4.676557012830717674e+00 3.915205814768860204e+00 2.329630579930364676e-10
5.100000000000000000e+01 4.689852989783092951e+00 3.925737114403247574e+00 2.421175392884063895e-10
5.700000000000000000e+01 4.700537031740577021e+00 3.934131547572503163e+00 2.771956232013104771e-10
6.300000000000000000e+01 4.708694567422456068e+00 3.940371198381970252e+00 3.121090307868143967e-10
6.900000000000000000e+01 4.715618792067287401e+00 3.945262082672499560e+00 3.102339899657951645e-10
7.500000000000000000e+01 4.721626623828142577e+00 3.949158243950473324e+00 3.203656121979572207e-10
8.100000000000000000e+01 4.726680462591652976e+00 3.952301796785767429e+00 2.892337025029356583e-10
8.700000000000000000e+01 4.731730869191657085e+00 3.954980317158043324e+00 3.170256565139364807e-10
9.300000000000000000e+01 4.735638796782344784e+00 3.956751086936272088e+00 2.960573789512796070e-10
9.900000000000000000e+01 4.739926502782523698e+00 3.958176694731407874e+00 3.539338571965705122e-10
1.050000000000000000e+02 4.742676482567185658e+00 3.958884540212120218e+00 2.663372751475219158e-10
1.110000000000000000e+02 4.745481130894837918e+00 3.959333091499251278e+00 3.513652626362069066e-10
1.170000000000000000e+02 4.747512407307279858e+00 3.959590723394026845e+00 2.291485807640069545e-10
1.230000000000000000e+02 4.749482968980558439e+00 3.959630988929481177e+00 1.958591826973642207e-10
1.290000000000000000e+02 4.750870879143176850e+00 3.959499546619524413e+00 2.120939919523601016e-10
1.350000000000000000e+02 4.752201549489782906e+00 3.959048472851139255e+00 4.182390292387636901e-10
1.410000000000000000e+02 4.753122755997363669e+00 3.958292004874283787e+00 2.522136618177193862e-10
1.470000000000000000e+02 4.754038381934387658e+00 3.957348207109998572e+00 3.299545546198287286e-10
1.530000000000000000e+02 4.755020592991527906e+00 3.956423331904251217e+00 1.722622758076452266e-10
