#z, u, v, w, u_mag
6.0 3.8540869605740737 3.323222805972544 -2.319535187328877e-09 5.109869895753302
18.0 4.369924623967935 3.7136694419721614 -3.8808112404111655e-09 5.754219616916474
30.0 4.561297450791427 3.848111489945466 -5.151551699709017e-09 5.986642134547683
42.0 4.647610126530965 3.9029572117348352 -6.274502661190071e-09 6.086775912249644
54.0 4.6930291138299225 3.929878368246571 -7.2457579464974226e-09 6.137877335033831
66.0 4.722344265961602 3.946501992951698 -8.135897185774351e-09 6.170221841325192
78.0 4.742309628034189 3.958008875553493 -8.924764381277852e-09 6.192243943615883
90.0 4.756044691663269 3.9668033526041215 -9.647971519400205e-09 6.2079048665189065
102.0 4.76548341014794 3.9743440863914095 -1.0283450769069928e-08 6.219584951424419
114.0 4.772832905616344 3.980503846066524 -1.0843966036787012e-08 6.228880436071725
126.0 4.7798306087399105 3.985827344954049 -1.1307497525514875e-08 6.237445671799461
138.0 4.786298791090839 3.990525197016253 -1.169347065940956e-08 6.245282184989648
150.0 4.7918364430208555 3.9949430221332918 -1.1973187539529512e-08 6.2523235014168375
162.0 4.795931760457188 3.9992448269078618 -1.2175708673751456e-08 6.25820878294484
174.0 4.79851593685481 4.0039362534591065 -1.2279915376312956e-08 6.263144656928048
186.0 4.799366070293531 4.009135878126377 -1.2344934121974392e-08 6.2670271575983
198.0 4.798986481401005 4.013958868971593 -1.2370997665027937e-08 6.269735535340124
210.0 4.797804537796073 4.017836917181073 -1.2417643800047098e-08 6.271248216841772
222.0 4.795875484111676 4.020857969012677 -1.2460189623701788e-08 6.271627888598728
234.0 4.793622129738356 4.023209016803589 -1.2572817794797316e-08 6.2712684312482585
246.0 4.791467133435505 4.025010315416182 -1.2663391328576122e-08 6.270595336226424
258.0 4.79024765421763 4.026502945298353 -1.2847685643085235e-08 6.2704199410924195
270.0 4.7899636223851125 4.027929169789687 -1.2954194197709147e-08 6.270941586861179
282.0 4.7900565578767225 4.029899107363153 -1.3108904234960262e-08 6.272122295579967
294.0 4.790261787088786 4.032879095911225 -1.30511371122281e-08 6.2740079941775715
306.0 4.790493477227701 4.0366314715946485 -1.3197007737210392e-08 6.276389743882722
318.0 4.7903638026958495 4.040690357575554 -1.3643149912220219e-08 6.2786694256825015
