# z, u, v, w, u_mag
0.000000000000000000e+00 3.617345371524570474e+00 3.039927778566430927e+00 5.020659854358761054e-03 4.725079220797831603e+00
7.500000000000000000e+00 4.288125005203241358e+00 3.598320487498733566e+00 -3.828189954199192821e-03 5.597851466950579002e+00
1.500000000000000000e+01 4.505992467818364489e+00 3.780499173066705243e+00 2.517006770484594112e-03 5.881849067505639184e+00
2.250000000000000000e+01 4.579058036042416902e+00 3.839282643530584238e+00 -2.196287608469366798e-03 5.975606123067272790e+00
3.000000000000000000e+01 4.627881055134021260e+00 3.877014134427954506e+00 1.829759329735005172e-03 6.037261383031360396e+00
3.750000000000000000e+01 4.654036543672178894e+00 3.895915967298962723e+00 -1.565907062077931833e-03 6.069449713619516018e+00
4.500000000000000000e+01 4.676181668561889104e+00 3.913936400398980719e+00 1.378972175760564967e-03 6.097997625887258799e+00
5.250000000000000000e+01 4.692061468879653141e+00 3.927508620480950174e+00 -1.215973172554298942e-03 6.118886031810693460e+00
6.000000000000000000e+01 4.706070674609899029e+00 3.938481730788305324e+00 1.073544985713481168e-03 6.136671792647489632e+00
6.750000000000000000e+01 4.716578948109512837e+00 3.947662798636808912e+00 -9.464718490546117184e-04 6.150622687281328993e+00
7.500000000000000000e+01 4.727260324794793966e+00 3.955952777906246887e+00 8.348895790474259023e-04 6.164134428810240429e+00
8.250000000000000000e+01 4.736377378652385950e+00 3.962853205936128553e+00 -7.395304262763419860e-04 6.175554772788720115e+00
9.000000000000000000e+01 4.744646440929440878e+00 3.968444280775589750e+00 6.548974304754183202e-04 6.185484644547712740e+00
9.750000000000000000e+01 4.752212384147617819e+00 3.972746733454608492e+00 -5.737724316419796000e-04 6.194048714809648359e+00
1.050000000000000000e+02 4.759059813268368799e+00 3.977596477093146898e+00 5.058279787471966051e-04 6.202412780258318215e+00
1.125000000000000000e+02 4.764707269048390259e+00 3.982328936855583201e+00 -4.435257357343177142e-04 6.209780939594807592e+00
1.200000000000000000e+02 4.770469373757608267e+00 3.987616931819349730e+00 3.800494140215533484e-04 6.217593343515578574e+00
1.275000000000000000e+02 4.776039973476781775e+00 3.993079019578093192e+00 -3.274463299185600908e-04 6.225370510424575343e+00
1.350000000000000000e+02 4.781793769454516507e+00 3.998454711431892239e+00 2.836835336452703487e-04 6.233232854100853260e+00
1.425000000000000000e+02 4.786342900501678876e+00 4.002722240218633765e+00 -2.476497556663594698e-04 6.239460213420237267e+00
1.500000000000000000e+02 4.790715950461415851e+00 4.005727982102066598e+00 2.162862301480352281e-04 6.244743071686829516e+00
1.575000000000000000e+02 4.794295550012812157e+00 4.009049002642348647e+00 -1.866820263706866936e-04 6.249619489321765364e+00
1.650000000000000000e+02 4.798285821608322621e+00 4.011674085225569009e+00 1.550677462350367336e-04 6.254364541339420214e+00
1.725000000000000000e+02 4.801720910912895768e+00 4.014382734948455322e+00 -1.312038339001300573e-04 6.258737290074161130e+00
1.800000000000000000e+02 4.805106965780277406e+00 4.017275603523943417e+00 1.174985875336125062e-04 6.263190579973175964e+00
1.875000000000000000e+02 4.807767476876005475e+00 4.019978056180259607e+00 -1.062912974142633723e-04 6.266965110416311546e+00
1.950000000000000000e+02 4.810478170322427083e+00 4.023350292170986719e+00 1.050946956811047713e-04 6.271207843127658776e+00
2.025000000000000000e+02 4.812138426253432577e+00 4.025164485082676435e+00 -1.026910033726096289e-04 6.273645302050570471e+00
2.100000000000000000e+02 4.814534515903664769e+00 4.026376661181410910e+00 9.246604118780946189e-05 6.276260959447437671e+00
2.175000000000000000e+02 4.816304268581898640e+00 4.026941359507191898e+00 -9.084678871985778020e-05 6.277980848069145914e+00
2.250000000000000000e+02 4.819739246295559276e+00 4.027617946193238652e+00 8.448409786616950003e-05 6.281050288758806666e+00
2.325000000000000000e+02 4.824164611863724694e+00 4.027977528611915936e+00 -7.641386049248389612e-05 6.284677173825232721e+00
